,Classifier,Accuracy,Precision,Recall,F1,Class0 Recall,Class1 Recall,Class0 Precision,Class1 Precision,Class0 F1,Class1 F1,Macro F1,Macro Recall,Macro Precision,TrainParticipants,TestParticipants,TrainConditions,TestConditions,Experiment
2,KNN,0.4873271889400922,0.45605979053129697,0.4555914435472446,0.45577483680712594,0.58195211786372,0.3292307692307692,0.5917602996254682,0.3203592814371258,0.5868152274837511,0.3247344461305008,0.45577483680712594,0.4555914435472446,0.45605979053129697,[8],[11],['FW'],['FW'],3
3,DecisionTree,0.4435483870967742,0.4429684845395855,0.4391301884119564,0.43429725692650006,0.4567219152854512,0.42153846153846153,0.5688073394495413,0.31712962962962965,0.5066394279877425,0.3619550858652576,0.43429725692650006,0.4391301884119564,0.4429684845395855,[8],[11],['FW'],['FW'],3
4,MLP,0.4942396313364055,0.48071305841924394,0.4796458421872786,0.47758085766500913,0.5377532228360957,0.42153846153846153,0.6083333333333333,0.35309278350515466,0.5708699902248289,0.3842917251051894,0.47758085766500913,0.4796458421872786,0.48071305841924394,[8],[11],['FW'],['FW'],3
0,SVM,0.4643237486687966,0.4998582584999177,0.49960217647964683,0.38566383767437323,0.4557260920897285,0.5434782608695652,0.9018691588785047,0.09784735812133072,0.6054901960784314,0.16583747927031509,0.38566383767437323,0.49960217647964683,0.4998582584999177,[8],[13],['FW'],['FW'],3
1,RandomForest,0.5516506922257721,0.4875442107222636,0.46565243057337913,0.41643182854873734,0.5726092089728453,0.358695652173913,0.8915441176470589,0.08354430379746836,0.6973400431344356,0.13552361396303902,0.41643182854873734,0.46565243057337913,0.4875442107222636,[8],[13],['FW'],['FW'],3
2,KNN,0.5846645367412141,0.4903785261945884,0.4742633848365073,0.4318379277389567,0.6115702479338843,0.33695652173913043,0.8946459412780656,0.08611111111111111,0.726507713884993,0.13716814159292037,0.4318379277389567,0.4742633848365073,0.4903785261945884,[8],[13],['FW'],['FW'],3
3,DecisionTree,0.45686900958466453,0.49320522906908665,0.4809365535650121,0.3776575836651523,0.4510035419126328,0.5108695652173914,0.8946135831381733,0.091796875,0.5996860282574569,0.1556291390728477,0.3776575836651523,0.4809365535650121,0.49320522906908665,[8],[13],['FW'],['FW'],3
4,MLP,0.5537806176783813,0.4914975787037467,0.4765219957907705,0.4207467083614906,0.5726092089728453,0.3804347826086957,0.8948339483394834,0.08816120906801007,0.6983441324694024,0.14314928425357873,0.4207467083614906,0.4765219957907705,0.4914975787037467,[8],[13],['FW'],['FW'],3
0,SVM,0.5694879832810867,0.49506135550125774,0.48363850887149773,0.41904284788118107,0.5856980703745743,0.3815789473684211,0.91651865008881,0.07360406091370558,0.7146814404432132,0.12340425531914893,0.41904284788118107,0.48363850887149773,0.49506135550125774,[8],[14],['FW'],['FW'],3
1,RandomForest,0.36468129571577845,0.5015211297867976,0.504652308979031,0.3193392915633335,0.33825198637911463,0.6710526315789473,0.9226006191950464,0.0804416403785489,0.4950166112956811,0.14366197183098592,0.3193392915633335,0.504652308979031,0.5015211297867976,[8],[14],['FW'],['FW'],3
2,KNN,0.6394984326018809,0.48915258300371567,0.4675607861879443,0.43912921610763334,0.6719636776390465,0.2631578947368421,0.9135802469135802,0.06472491909385113,0.7743623283191627,0.10389610389610388,0.43912921610763334,0.4675607861879443,0.48915258300371567,[8],[14],['FW'],['FW'],3
3,DecisionTree,0.47335423197492166,0.4746724318658281,0.4133908835653265,0.3611955796187792,0.48467650397275824,0.34210526315789475,0.8951781970649895,0.05416666666666667,0.6288659793814433,0.09352517985611512,0.3611955796187792,0.4133908835653265,0.4746724318658281,[8],[14],['FW'],['FW'],3
4,MLP,0.554858934169279,0.4963369555535762,0.48771581336997427,0.41415572620881524,0.5675368898978433,0.40789473684210525,0.9174311926605505,0.07524271844660194,0.7012622720897617,0.12704918032786883,0.41415572620881524,0.48771581336997427,0.4963369555535762,[8],[14],['FW'],['FW'],3
0,SVM,0.4820809248554913,0.518850552432642,0.5760161542470037,0.38809797506410826,0.46782178217821785,0.6842105263157895,0.9545454545454546,0.08315565031982942,0.627906976744186,0.1482889733840304,0.38809797506410826,0.5760161542470037,0.518850552432642,[8],[15],['FW'],['FW'],3
1,RandomForest,0.3653179190751445,0.5393396226415095,0.6358129233976029,0.32636699051436885,0.32425742574257427,0.9473684210526315,0.9886792452830189,0.09,0.4883504193849021,0.1643835616438356,0.32636699051436885,0.6358129233976029,0.5393396226415095,[8],[15],['FW'],['FW'],3
2,KNN,0.5988439306358382,0.5186929603048024,0.5732912107000174,0.4444547270072128,0.6027227722772277,0.543859649122807,0.949317738791423,0.08806818181818182,0.7373202119606358,0.15158924205378976,0.4444547270072128,0.5732912107000174,0.5186929603048024,[8],[15],['FW'],['FW'],3
3,DecisionTree,0.49942196531791905,0.5251038056714913,0.601604568351572,0.40142235007391425,0.4839108910891089,0.7192982456140351,0.9606879606879607,0.08951965065502183,0.6436213991769547,0.15922330097087378,0.40142235007391425,0.601604568351572,0.5251038056714913,[8],[15],['FW'],['FW'],3
