,Classifier,Accuracy,Precision,Recall,F1,Class0 Recall,Class1 Recall,Class2 Recall,Class0 Precision,Class1 Precision,Class2 Precision,Class0 F1,Class1 F1,Class2 F1,Macro F1,Macro Recall,Macro Precision,TrainParticipants,FinetunedParticipants,TrainConditions,TestConditions,Experiment,RandomState
0,MLP,0.46511627906976744,0.46349206349206346,0.46349206349206346,0.4444444444444445,0.21428571428571427,0.6428571428571429,0.5333333333333333,0.42857142857142855,0.42857142857142855,0.5333333333333333,0.2857142857142857,0.5142857142857143,0.5333333333333333,0.4444444444444445,0.46349206349206346,0.46349206349206346,"[3, 5, 10, 13, 15, 16, 17, 18, 21, 23]","[2, 11]",LP,LP,4,42
0,MLP,0.41312741312741313,0.42787076864695156,0.4129020760937361,0.4116330276509917,0.29069767441860467,0.47674418604651164,0.47126436781609193,0.43859649122807015,0.5061728395061729,0.33884297520661155,0.34965034965034963,0.4910179640718563,0.3942307692307692,0.4116330276509917,0.4129020760937361,0.42787076864695156,"[3, 7, 8, 9, 10, 12, 14, 17, 20, 21, 24]","[23, 15]",RP,RP,6,42
0,MLP,0.3076923076923077,0.33221099887766553,0.3076923076923077,0.3147948949036254,0.23076923076923078,0.38461538461538464,0.3076923076923077,0.18181818181818182,0.37037037037037035,0.4444444444444444,0.2033898305084746,0.3773584905660377,0.3636363636363637,0.3147948949036254,0.3076923076923077,0.33221099887766553,"[3, 7, 8, 9, 10, 12, 14, 15, 17, 21, 24]","[20, 23]",RP,RP,6,42
0,MLP,0.3076923076923077,0.33221099887766553,0.3076923076923077,0.3147948949036254,0.23076923076923078,0.38461538461538464,0.3076923076923077,0.18181818181818182,0.37037037037037035,0.4444444444444444,0.2033898305084746,0.3773584905660377,0.3636363636363637,0.3147948949036254,0.3076923076923077,0.33221099887766553,"[3, 7, 8, 9, 10, 12, 14, 15, 20, 23, 24]","[21, 17]",RP,RP,6,42
0,MLP,0.30677290836653387,0.2983958907254362,0.30665519219736087,0.29541950113378684,0.27710843373493976,0.4880952380952381,0.15476190476190477,0.359375,0.33884297520661155,0.19696969696969696,0.3129251700680272,0.39999999999999997,0.17333333333333334,0.29541950113378684,0.30665519219736087,0.2983958907254362,"[3, 7, 8, 9, 10, 14, 15, 20, 21, 23, 24]","[17, 12]",RP,RP,6,42
0,MLP,0.44017094017094016,0.43862266791584253,0.44017094017094016,0.4329993036844176,0.28846153846153844,0.5128205128205128,0.5192307692307693,0.42857142857142855,0.43478260869565216,0.45251396648044695,0.3448275862068965,0.47058823529411764,0.4835820895522388,0.4329993036844176,0.44017094017094016,0.43862266791584253,"[3, 7, 8, 9, 12, 14, 15, 17, 20, 21, 23]","[10, 24]",RP,RP,6,42
0,RandomForest,0.49122807017543857,0.5045977011494253,0.49122807017543857,0.47056030389363723,0.631578947368421,0.21052631578947367,0.631578947368421,0.41379310344827586,0.5,0.6,0.5,0.2962962962962963,0.6153846153846154,0.47056030389363723,0.49122807017543857,0.5045977011494253,"[3, 7, 8, 9, 10, 12, 14, 15, 17, 23, 24]","[20, 21]",RP,RP,6,42
0,RandomForest,0.3247863247863248,0.2992596921878044,0.3247863247863248,0.2811891954800534,0.6858974358974359,0.17307692307692307,0.11538461538461539,0.3689655172413793,0.2288135593220339,0.3,0.47982062780269064,0.1970802919708029,0.16666666666666669,0.2811891954800534,0.3247863247863248,0.2992596921878044,"[3, 7, 9, 10, 12, 14, 15, 17, 20, 21, 23]","[8, 24]",RP,RP,6,42
0,RandomForest,0.19047619047619047,0.22916666666666666,0.19047619047619047,0.16103059581320447,0.42857142857142855,0.14285714285714285,0.0,0.1875,0.5,0.0,0.26086956521739124,0.22222222222222224,0.0,0.16103059581320447,0.19047619047619047,0.22916666666666666,"[3, 7, 8, 9, 10, 12, 17, 20, 21, 23, 24]","[15, 14]",RP,RP,6,42
0,RandomForest,0.3469387755102041,0.28684384831925813,0.3450126262626263,0.2678816295837573,0.15625,0.030303030303030304,0.8484848484848485,0.15151515151515152,0.25,0.45901639344262296,0.15384615384615385,0.054054054054054064,0.5957446808510639,0.2678816295837573,0.3450126262626263,0.28684384831925813,"[3, 7, 8, 9, 10, 12, 14, 17, 20, 21, 24]","[15, 23]",RP,RP,6,42
0,RandomForest,0.3141025641025641,0.30896134156504584,0.3141025641025641,0.30984225825902345,0.4358974358974359,0.1987179487179487,0.3076923076923077,0.3617021276595745,0.2198581560283688,0.34532374100719426,0.39534883720930236,0.20875420875420875,0.3254237288135593,0.30984225825902345,0.3141025641025641,0.30896134156504584,"[3, 7, 8, 9, 12, 14, 15, 17, 20, 21, 23]","[10, 24]",RP,RP,6,42
0,RandomForest,0.367816091954023,0.28616967233934465,0.367816091954023,0.30525911553999163,0.632183908045977,0.45977011494252873,0.011494252873563218,0.4435483870967742,0.31496062992125984,0.1,0.5213270142180094,0.37383177570093457,0.020618556701030927,0.30525911553999163,0.367816091954023,0.28616967233934465,"[2, 5, 6, 10, 11, 13, 15, 16, 18, 19, 20, 24]","[17, 9]",RW,RW,5,42
0,RandomForest,0.3741935483870968,0.34855022831050225,0.3733031674208145,0.35057300015715853,0.23529411764705882,0.6923076923076923,0.19230769230769232,0.24,0.4931506849315068,0.3125,0.2376237623762376,0.576,0.2380952380952381,0.35057300015715853,0.3733031674208145,0.34855022831050225,"[2, 5, 6, 9, 10, 11, 13, 16, 17, 18, 20, 24]","[19, 15]",RW,RW,5,42
0,RandomForest,0.38636363636363635,0.41156806917642097,0.38663620788121067,0.3825691172733216,0.47058823529411764,0.42718446601941745,0.2621359223300971,0.3310344827586207,0.4036697247706422,0.5,0.38866396761133604,0.4150943396226415,0.34394904458598724,0.3825691172733216,0.38663620788121067,0.41156806917642097,"[2, 5, 6, 9, 10, 15, 16, 17, 18, 19, 20, 24]","[11, 13]",RW,RW,5,42
0,RandomForest,0.33490566037735847,0.3403562072078022,0.33467471495640505,0.3290008841732979,0.2857142857142857,0.4647887323943662,0.2535211267605634,0.3333333333333333,0.32038834951456313,0.3673469387755102,0.30769230769230765,0.37931034482758624,0.3,0.3290008841732979,0.33467471495640505,0.3403562072078022,"[2, 5, 9, 10, 11, 13, 15, 16, 17, 18, 19, 20]","[24, 6]",RW,RW,5,42
0,RandomForest,0.449438202247191,0.44501424501424497,0.44789272030651334,0.4296464646464646,0.3103448275862069,0.3,0.7333333333333333,0.34615384615384615,0.5,0.4888888888888889,0.32727272727272727,0.37499999999999994,0.5866666666666667,0.4296464646464646,0.44789272030651334,0.44501424501424497,"[2, 5, 6, 9, 10, 11, 13, 15, 16, 17, 19, 24]","[18, 20]",RW,RW,5,42
0,RandomForest,0.5151515151515151,0.3444444444444444,0.5151515151515151,0.412024756852343,0.7272727272727273,0.0,0.8181818181818182,0.5333333333333333,0.0,0.5,0.6153846153846153,0.0,0.6206896551724137,0.412024756852343,0.5151515151515151,0.3444444444444444,"[3, 6, 9, 14, 16, 19, 24]",[18],FP,FP,2,42
0,RandomForest,0.3469387755102041,0.31741376902667223,0.34803921568627455,0.3040614950883221,0.6875,0.0625,0.29411764705882354,0.3548387096774194,0.14285714285714285,0.45454545454545453,0.4680851063829787,0.08695652173913043,0.35714285714285715,0.3040614950883221,0.34803921568627455,0.31741376902667223,"[3, 6, 9, 14, 18, 19, 24]",[16],FP,FP,2,42
0,RandomForest,0.20454545454545456,0.21031746031746032,0.20476190476190478,0.20649465477051684,0.21428571428571427,0.2,0.2,0.25,0.16666666666666666,0.21428571428571427,0.23076923076923075,0.1818181818181818,0.20689655172413796,0.20649465477051684,0.20476190476190478,0.21031746031746032,"[3, 6, 9, 14, 16, 18, 24]",[19],FP,FP,2,42
0,RandomForest,0.35714285714285715,0.24448419797257007,0.3654970760233918,0.26810109289617484,0.8333333333333334,0.0,0.2631578947368421,0.3488372093023256,0.0,0.38461538461538464,0.4918032786885246,0.0,0.3125,0.26810109289617484,0.3654970760233918,0.24448419797257007,"[3, 6, 9, 16, 18, 19, 24]",[14],FP,FP,2,42
0,RandomForest,0.5151515151515151,0.3444444444444444,0.5151515151515151,0.412024756852343,0.7272727272727273,0.0,0.8181818181818182,0.5333333333333333,0.0,0.5,0.6153846153846153,0.0,0.6206896551724137,0.412024756852343,0.5151515151515151,0.3444444444444444,"[3, 6, 9, 14, 16, 19, 24]",[18],FP,FP,2,42
0,RandomForest,0.288135593220339,0.29354354354354356,0.2929824561403509,0.25630850630850627,0.5789473684210527,0.1,0.2,0.2972972972972973,0.3333333333333333,0.25,0.39285714285714285,0.15384615384615383,0.22222222222222224,0.25630850630850627,0.2929824561403509,0.29354354354354356,"[3, 6, 9, 14, 16, 18, 19]",[24],FP,FP,2,42
0,RandomForest,0.29411764705882354,0.1978021978021978,0.2828282828282828,0.21442495126705652,0.18181818181818182,0.0,0.6666666666666666,0.2857142857142857,0.0,0.3076923076923077,0.2222222222222222,0.0,0.42105263157894735,0.21442495126705652,0.2828282828282828,0.1978021978021978,"[2, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 23]","[5, 21]",FW,FW,1,42
0,RandomForest,0.39215686274509803,0.2541827541827542,0.39215686274509803,0.2927120669056153,0.8823529411764706,0.0,0.29411764705882354,0.40540540540540543,0.0,0.35714285714285715,0.5555555555555556,0.0,0.3225806451612903,0.2927120669056153,0.39215686274509803,0.2541827541827542,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 20, 21, 23]","[18, 19]",FW,FW,1,42
0,RandomForest,0.3269230769230769,0.5130984643179765,0.3311546840958606,0.2673740053050398,0.7647058823529411,0.11764705882352941,0.1111111111111111,0.3170731707317073,0.2222222222222222,1.0,0.4482758620689655,0.15384615384615383,0.19999999999999998,0.2673740053050398,0.3311546840958606,0.5130984643179765,"[2, 5, 7, 8, 11, 13, 14, 15, 18, 19, 20, 21]","[9, 23]",FW,FW,1,42
0,RandomForest,0.22580645161290322,0.23015873015873015,0.22424242424242424,0.20366856419987348,0.4,0.0,0.2727272727272727,0.19047619047619047,0.0,0.5,0.25806451612903225,0.0,0.3529411764705882,0.20366856419987348,0.22424242424242424,0.23015873015873015,"[2, 5, 7, 8, 9, 14, 15, 18, 19, 20, 21, 23]","[11, 13]",FW,FW,1,42
0,RandomForest,0.375,0.38888888888888884,0.375,0.34839073969508755,0.625,0.375,0.125,0.3333333333333333,0.5,0.3333333333333333,0.43478260869565216,0.42857142857142855,0.18181818181818182,0.34839073969508755,0.375,0.38888888888888884,"[5, 7, 8, 9, 11, 13, 15, 18, 19, 20, 21, 23]","[2, 14]",FW,FW,1,42
0,RandomForest,0.4827586206896552,0.5142857142857142,0.48888888888888893,0.4803921568627451,0.6666666666666666,0.2,0.6,0.4,0.2857142857142857,0.8571428571428571,0.5,0.23529411764705882,0.7058823529411764,0.4803921568627451,0.48888888888888893,0.5142857142857142,"[3, 5, 6, 7, 8, 10, 20, 24, 25]","[12, 23]",LW,LW,3,42
0,RandomForest,0.25925925925925924,0.25256410256410255,0.25925925925925924,0.24266961109066373,0.2222222222222222,0.1111111111111111,0.4444444444444444,0.2,0.25,0.3076923076923077,0.2105263157894737,0.15384615384615383,0.3636363636363637,0.24266961109066373,0.25925925925925924,0.25256410256410255,"[3, 5, 6, 7, 8, 10, 12, 23, 24]","[25, 20]",LW,LW,3,42
0,RandomForest,0.3333333333333333,0.2401656314699793,0.3333333333333333,0.2762508809020437,0.5,0.5,0.0,0.2857142857142857,0.43478260869565216,0.0,0.36363636363636365,0.46511627906976744,0.0,0.2762508809020437,0.3333333333333333,0.2401656314699793,"[3, 5, 6, 8, 12, 20, 23, 24, 25]","[7, 10]",LW,LW,3,42
0,RandomForest,0.5,0.5952380952380952,0.5,0.5152625152625152,0.3333333333333333,0.5,0.6666666666666666,0.2857142857142857,1.0,0.5,0.30769230769230765,0.6666666666666666,0.5714285714285715,0.5152625152625152,0.5,0.5952380952380952,"[2, 3, 5, 10, 11, 13, 15, 17, 21, 23]","[16, 18]",LP,LP,4,42
